Ativo,Nome
AALR3,ALLIAR
ABCB4,ABC BRASIL
AERI3,AERIS
AESB3,AES BRASIL
AGRO3,BRASILAGRO
ALPA4,ALPARGATAS
ALSO3,ALIANSCSONAE
ALUP11,ALUPAR
AMAR3,LOJAS MARISA
AMBP3,AMBIPAR
AMER3,AMERICANAS
ANIM3,ANIMA
ARML3,ARMAC
ARZZ3,AREZZO CO
AZUL4,AZUL
BEEF3,MINERVA
BLAU3,BLAU
BMOB3,BEMOBI TECH
BOAS3,BOA VISTA
BPAN4,BANCO PAN
BRAP4,BRADESPAR
BRFS3,BRF SA
BRML3,BR MALLS PAR
BRPR3,BR PROPERT
BRSR6,BANRISUL
CAML3,CAMIL
CASH3,MELIUZ
CBAV3,CBA
CEAB3,CEA MODAS
CLSA3,CLEARSALE
COGN3,COGNA ON
CSMG3,COPASA
CURY3,CURY S/A
CVCB3,CVC BRASIL
CYRE3,CYRELA REALT
DASA3,DASA
DIRR3,DIRECIONAL
DMMO3,DOMMO
DXCO3,DEXCO
ECOR3,ECORODOVIAS
EMBR3,EMBRAER
ENAT3,ENAUTA PART
ENBR3,ENERGIAS BR
ENJU3,ENJOEI
ESPA3,ESPACOLASER
EVEN3,EVEN
EZTC3,EZTEC
FESA4,FERBASA
FHER3,FER HERINGER
FLRY3,FLEURY
GFSA3,GAFISA
GGPS3,GPS
GMAT3,GRUPO MATEUS
GOAU4,GERDAU MET
GOLL4,GOL
GRND3,GRENDENE
GUAR3,GUARARAPES
HBSA3,HIDROVIAS
IFCM3,INFRACOMM
IGTI11,IGUATEMI S.A
INTB3,INTELBRAS
JALL3,JALLESMACHAD
JHSF3,JHSF PART
KEPL3,KEPLER WEBER
LAVV3,LAVVI
LEVE3,METAL LEVE
LIGT3,LIGHT S/A
LJQQ3,QUERO-QUERO
LOGG3,LOG COM PROP
LOGN3,LOG-IN
LWSA3,LOCAWEB
MATD3,MATER DEI
MBLY3,MOBLY
MDIA3,M.DIASBRANCO
MEAL3,IMC S/A
MEGA3,OMEGAENERGIA
MILS3,MILLS
MLAS3,MULTILASER
MODL3,MODALMAIS
MOVI3,MOVIDA
MRFG3,MARFRIG
MRVE3,MRV
MYPK3,IOCHP-MAXION
ODPV3,ODONTOPREV
ONCO3,ONCOCLINICAS
ORVR3,ORIZON
PARD3,IHPARDINI
PCAR3,P.ACUCAR-CBD
PETZ3,PETZ
PGMN3,PAGUE MENOS
PNVL3,DIMED
POMO4,MARCOPOLO
POSI3,POSITIVO TEC
PTBL3,PORTOBELLO
QUAL3,QUALICORP
RANI3,IRANI
RAPT4,RANDON PART
RCSL3,RECRUSUL
RECV3,PETRORECSA
ROMI3,ROMI
RRRP3,3R PETROLEUM
SAPR11,SANEPAR
SBFG3,GRUPO SBF
SEER3,SER EDUCA
SEQL3,SEQUOIA LOG
SIMH3,SIMPAR
SLCE3,SLC AGRICOLA
SMFT3,SMART FIT
SMTO3,SAO MARTINHO
SOMA3,GRUPO SOMA
SQIA3,SINQIA
STBP3,SANTOS BRP
SYNE3,SYN PROP TEC
TASA4,TAURUS ARMAS
TEND3,TENDA
TRAD3,TC
TRIS3,TRISUL
TTEN3,3TENTOS
TUPY3,TUPY
UNIP6,UNIPAR
USIM3,USIMINAS
USIM5,USIMINAS
VIIA3,VIA
VIVA3,VIVARA S.A.
VLID3,VALID
VULC3,VULCABRAS
WIZS3,WIZ S.A.
YDUQ3,YDUQS PART
ZAMP3,ZAMP S.A.